"","user_type","month","num_rides"
"1","casual","01",39899
"2","member","01",150244
"3","casual","02",42920
"4","member","02",147383
"5","casual","03",62039
"6","member","03",196403
"7","casual","04",146867
"8","member","04",279214
"9","casual","05",233531
"10","member","05",370438
"11","casual","06",300362
"12","member","06",418164
"13","casual","07",329987
"14","member","07",435882
"15","casual","08",309834
"16","member","08",460110
"17","casual","09",260761
"18","member","09",404351
"19","casual","10",176495
"20","member","10",359713
"21","casual","11",98055
"22","member","11",263874
"23","casual","12",51672
"24","member","12",172401
